0,0,20,0
20,0,20,20
20,20,0,20
0,20,0,0#End of bounding walls
5.8,2.3,2.4,5.4
2.4,5.4,4.1,7.0
4.1,7.0,7.7,3.4
7.7,3.4,5.8,2.3#end of path
10.3,2.6,17.7,2.7
17.7,2.7,17.6,9.2
17.6,9.2,12.0,9.3
12.0,9.3,12.0,8.4
12.0,8.4,16.9,8.3
16.9,8.3,17.1,3.5
17.1,3.5,10.9,3.2
10.9,3.2,10.6,9.3
10.6,9.3,9.8,9.3
9.8,9.3,10.3,2.6#end of path
7.8,7.0,2.6,12.4
2.6,12.4,2.5,18.5
2.5,18.5,4.8,18.6
4.8,18.6,4.8,13.2
4.8,13.2,7.8,9.4
7.8,9.4,7.8,7.0#end of path
7.7,13.6,9.2,11.3
9.2,11.3,13.7,11.4
13.7,11.4,13.7,12.2
13.7,12.2,9.8,12.0
9.8,12.0,8.9,14.0
8.9,14.0,8.7,18.2
8.7,18.2,7.6,18.2
7.6,18.2,7.7,13.6#end of path
11.1,14.0,10.9,18.0
10.9,18.0,17.2,18.0
17.2,18.0,17.3,14.3
17.3,14.3,12.6,14.1
12.6,14.1,12.6,15.0
12.6,15.0,16.8,15.2
16.8,15.2,16.6,17.5
16.6,17.5,11.4,17.5
11.4,17.5,11.4,14.1
11.4,14.1,11.1,14.0#end of path
