0,0,20,0
0,0,0,20
20,20,0,20
20,20,20,0#End of bounding walls
3.9,5.4,5.0,4.6
5.0,4.6,5.8,5.7
5.8,5.7,6.2,15.6
6.2,15.6,15.9,16.1
15.9,16.1,14.9,5.5
14.9,5.5,7.3,5.4
7.3,5.4,6.2,4.1
6.2,4.1,7.4,3.5
7.4,3.5,16.6,4.2
16.6,4.2,17.6,17.1
17.6,17.1,4.8,16.5
4.8,16.5,3.9,5.7
3.9,5.7,3.9,5.4#end of path
10.6,8.4,11.4,8.7
11.4,8.7,11.8,9.4
11.8,9.4,12.0,10.1
12.0,10.1,11.7,10.7
11.7,10.7,11.4,11.2
11.4,11.2,10.7,11.4
10.7,11.4,9.9,11.2
9.9,11.2,9.5,10.6
9.5,10.6,9.3,10.0
9.3,10.0,9.6,9.2
9.6,9.2,10.6,8.4#end of path
