0,0,20,0
0,0,0,20
20,20,0,20
20,20,20,0#End of bounding walls
5.0,2.0,1.7,4.3
1.7,4.3,7.1,7.9
7.1,7.9,5.0,2.0
5.0,2.0,5.0,2.0#end of path
14.8,2.3,10.5,8.0
10.5,8.0,17.0,5.2
17.0,5.2,14.8,2.4
14.8,2.4,14.8,2.4#end of path
7.3,2.0,8.7,7.7
8.7,7.7,13.2,2.0
13.2,2.0,7.2,2.1
7.2,2.1,7.2,2.1#end of path
1.8,5.4,7.4,9.4
7.4,9.4,2.0,9.5
2.0,9.5,1.8,5.5
1.8,5.5,1.8,5.5#end of path
2.1,10.8,8.1,10.8
8.1,10.8,2.6,14.9
2.6,14.9,2.0,10.8
2.0,10.8,2.0,10.8#end of path
3.2,16.5,9.7,11.0
9.7,11.0,8.2,17.8
8.2,17.8,3.2,16.6
3.2,16.6,3.2,16.6#end of path
10.5,17.8,10.6,10.2
10.6,10.2,14.5,15.6
14.5,15.6,10.5,17.8
10.5,17.8,10.5,17.8#end of path
15.8,15.0,11.7,9.1
11.7,9.1,16.9,7.8
16.9,7.8,15.8,15.0
15.8,15.0,15.8,15.0#end of path
